id,category,context,mistake_text,correct_text
1,grammar,website project,i go to the office yesterday,I went to the office yesterday
2,spelling,SEO campaign,she dont like the new design,She doesn't like the new design
3,punctuation,client meeting,he have completed the task,He has completed the task
4,tense,marketing report,we was working on the website,We were working on the website
5,word_usage,design task,the pages is loading slowly,The pages are loading slowly
6,subject_verb_agreement,development project,please send me the file tommorow,Please send me the file tomorrow
7,preposition,monthly report,i didnt receive your email,I didn't receive your email
8,grammar,job application,the client are happy with the result,The client is happy with the result
9,spelling,team meeting,she have three years experience,She has three years of experience
10,punctuation,landing page,we need to improves the website,We need to improve the website
11,tense,company website,he did not went to the meeting,He did not go to the meeting
12,word_usage,content update,i am looking forward to meet you,I am looking forward to meeting you
13,subject_verb_agreement,social media campaign,there is many errors in the report,There are many errors in the report
14,preposition,analytics report,she is good in SEO,She is good at SEO
15,grammar,business proposal,please reply me as soon as possible,Please reply to me as soon as possible
16,spelling,email campaign,the website dont work on mobile,The website doesn't work on mobile
17,punctuation,product launch,i have finish the project,I have finished the project
18,tense,website audit,they was waiting for the client,They were waiting for the client
19,word_usage,keyword research,he can speaks English well,He can speak English well
20,subject_verb_agreement,performance review,we discussed about the issue,We discussed the issue
21,preposition,website project,i need an information about the job,I need information about the job
22,grammar,SEO campaign,she bought a new laptop yesterday,She bought a new laptop yesterday
23,spelling,client meeting,the content have many mistakes,The content has many mistakes
24,punctuation,marketing report,our manager give us new tasks,Our manager gives us new tasks
25,tense,design task,i will sent the report tonight,I will send the report tonight
26,word_usage,development project,he is working here since 2023,He has been working here since 2023
27,subject_verb_agreement,monthly report,the mobile version did not looked good,The mobile version did not look good
28,preposition,job application,i forgeted to attach the document,I forgot to attach the document
29,grammar,team meeting,this is more better than the old version,This is better than the old version
30,spelling,landing page,she suggested me to apply,She suggested that I apply
31,punctuation,company website,we need more informations,We need more information
32,tense,content update,each employees has an account,Each employee has an account
33,word_usage,social media campaign,the team are ready for the meeting,The team is ready for the meeting
34,subject_verb_agreement,analytics report,i am agree with your idea,I agree with your idea
35,preposition,business proposal,he explained me the process,He explained the process to me
36,grammar,email campaign,she is married with a doctor,She is married to a doctor
37,spelling,product launch,i am interested on this position,I am interested in this position
38,punctuation,website audit,please check if there is any mistakes,Please check if there are any mistakes
39,tense,keyword research,we will discussed it tomorrow,We will discuss it tomorrow
40,word_usage,performance review,did you completed the work,Did you complete the work
41,subject_verb_agreement,website project,where you are going,Where are you going?
42,preposition,SEO campaign,what time the meeting starts,What time does the meeting start?
43,grammar,client meeting,yesterday i visited the client,"Yesterday, I visited the client."
